x,y,Umag,Vorticity_z
-6,-6.75,1.006559589,-0.001234554453
-5.925000191,-6.75,1.006868431,-0.001236558543
-5.849999905,-6.75,1.007185702,-0.001238228288
-5.775000095,-6.75,1.007524627,-0.001239038422
-5.699999809,-6.75,1.007863553,-0.001239848672
-5.625,-6.75,1.008215324,-0.001240178128
-5.550000191,-6.75,1.008585108,-0.001239833306
-5.474999905,-6.75,1.008954895,-0.001239488483
-5.400000095,-6.75,1.009344827,-0.001238407916
-5.324999809,-6.75,1.009745949,-0.001236918732
-5.25,-6.75,1.010147069,-0.001235429663
-5.175000191,-6.75,1.010578544,-0.001232920447
-5.099999905,-6.75,1.011011371,-0.00123036583
-5.025000095,-6.75,1.01145558,-0.001227471163
-4.949999809,-6.75,1.011920304,-0.001223963453
-4.875,-6.75,1.012385024,-0.001220455859
-4.800000191,-6.75,1.012876415,-0.001216165838
-4.724999905,-6.75,1.013372938,-0.001211725292
-4.650000095,-6.75,1.013882137,-0.001206917339
-4.574999809,-6.75,1.014410346,-0.001201558509
-4.5,-6.75,1.014939756,-0.001196168363
-4.425000191,-6.75,1.015499058,-0.00118999905
-4.349999905,-6.75,1.016058364,-0.00118382962
-4.275000095,-6.75,1.016640709,-0.001177162747
-4.199999809,-6.75,1.017230656,-0.001170331729
-4.125,-6.75,1.017836597,-0.001163206296
-4.050000191,-6.75,1.01845629,-0.001155828009
-3.974999905,-6.75,1.019087328,-0.001148212119
-3.900000095,-6.75,1.019735842,-0.001140230452
-3.825000048,-6.75,1.020393165,-0.001132055651
-3.75,-6.75,1.021069457,-0.001123465365
-3.674999952,-6.75,1.021753858,-0.001114735962
-3.599999905,-6.75,1.022456615,-0.001105692121
-3.525000095,-6.75,1.02316841,-0.001096507302
-3.450000048,-6.75,1.023896326,-0.001087071258
-3.375,-6.75,1.024635473,-0.001077498309
-3.299999952,-6.75,1.025387093,-0.001067773672
-3.224999905,-6.75,1.026153112,-0.00105779164
-3.150000095,-6.75,1.026926947,-0.001047669793
-3.075000048,-6.75,1.027718822,-0.001037545153
-3,-6.75,1.028516341,-0.001027222606
-2.924999952,-6.75,1.029329634,-0.001015921938
-2.849999905,-6.75,1.030151665,-0.001006182982
-2.775000095,-6.75,1.030982088,-0.0009979441529
-2.700000048,-6.75,1.031826954,-0.000980607816
-2.625,-6.75,1.032677871,-0.0009737854707
-2.549999952,-6.75,1.033537198,-0.0009882736485
-2.474999905,-6.75,1.034408742,-0.0009079636657
-2.400000095,-6.75,1.035284294,-0.0009621257195
-2.325000048,-6.75,1.036162644,-0.001257224707
-2.25,-6.75,1.037063971,-0.0007660076953
-2.174999952,-6.75,1.037943949,-0.001584161771
-2.099999905,-6.75,1.03872384,-0.003632547334
-2.025000095,-6.75,1.040220617,-0.005410659593
-1.950000048,-6.75,1.040745496,-0.003509611823
-1.875,-6.75,1.041600132,-0.00159032573
-1.799999952,-6.75,1.042511577,-0.0008291898994
-1.725000024,-6.75,1.043426603,-0.0008192790556
-1.649999976,-6.75,1.044344149,-0.0008104373701
-1.575000048,-6.75,1.045253875,-0.0008011086029
-1.5,-6.75,1.046164372,-0.0007920244825
-1.424999952,-6.75,1.047075113,-0.0007831964176
-1.350000024,-6.75,1.047982401,-0.0007747169002
-1.274999976,-6.75,1.048876585,-0.0007666428573
-1.200000048,-6.75,1.049767914,-0.0007588420995
-1.125,-6.75,1.050655509,-0.0007512849406
-1.049999952,-6.75,1.051533937,-0.000743848097
-0.9750000238,-6.75,1.052405401,-0.0007367049693
-0.8999999762,-6.75,1.053271644,-0.0007297953125
-0.8249999881,-6.75,1.054120476,-0.0007232462522
-0.75,-6.75,1.054956774,-0.0007170683239
-0.6750000119,-6.75,1.055785113,-0.0007110931328
-0.6000000238,-6.75,1.056593157,-0.0007051817956
-0.5249999762,-6.75,1.057385665,-0.0007005213411
-0.4499999881,-6.75,1.058167714,-0.0006959986058
-0.375,-6.75,1.058925448,-0.0006883150782
-0.3000000119,-6.75,1.059666018,-0.0006882179296
-0.224999994,-6.75,1.060393492,-0.0006912217359
-0.150000006,-6.75,1.061092325,-0.0006729720626
-0.07500000298,-6.75,1.061772127,-0.0006615362945
0,-6.75,1.062434843,-0.0006559489993
0.07500000298,-6.75,1.063072551,-0.000671731832
0.150000006,-6.75,1.063689282,-0.0006757774972
0.224999994,-6.75,1.06428063,-0.0006661169464
0.3000000119,-6.75,1.064837197,-0.0006636104663
0.375,-6.75,1.065375012,-0.0006620424101
0.4499999881,-6.75,1.065888286,-0.0006610096316
0.5249999762,-6.75,1.066366522,-0.0006605085218
0.6000000238,-6.75,1.066822447,-0.0006603249931
0.6750000119,-6.75,1.067248388,-0.0006605908275
