time,Cm,Cd,Cl,Cl_f,Cl_r,source
0.0,4.8034139e-15,9.08895934,-2.26576127e-17,4.7920851e-15,-4.81474271e-15,forceCoeffs-old.dat
0.01,-1.89197099e-06,326.145715,-0.00103206648,-0.00051792521,-0.000514141268,forceCoeffs-old.dat
0.02,-1.65148015e-06,-146.679836,0.000818436718,0.000407566879,0.000410869839,forceCoeffs-old.dat
0.03,-1.28066877e-06,7.33163812,-0.000309771601,-0.000156166469,-0.000153605132,forceCoeffs-old.dat
0.04,-8.46575404e-07,5.07190711,-1.2372868e-05,-7.03300942e-06,-5.33985861e-06,forceCoeffs-old.dat
0.05,-5.13841579e-07,4.9343695,3.21738248e-05,1.55730708e-05,1.6600754e-05,forceCoeffs-old.dat
0.06,-2.8991508e-07,4.52435444,-1.64401692e-06,-1.11192354e-06,-5.3209338e-07,forceCoeffs-old.dat
0.07,-1.46117752e-07,4.15082862,1.41701617e-07,-7.52669432e-08,2.1696856e-07,forceCoeffs-old.dat
0.08,-5.55963967e-08,3.85268605,-7.11074025e-07,-4.11133409e-07,-2.99940616e-07,forceCoeffs-old.dat
0.09,1.27915806e-09,3.61275415,-7.55666554e-07,-3.76554119e-07,-3.79112435e-07,forceCoeffs-old.dat
0.1,3.76171191e-08,3.41569059,-4.31572617e-07,-1.7816919e-07,-2.53403428e-07,forceCoeffs-old.dat
0.11,6.10163502e-08,3.25085869,-1.70042056e-07,-2.40046778e-08,-1.46037378e-07,forceCoeffs-old.dat
0.12,7.60588383e-08,3.11045106,1.67471876e-07,1.59794776e-07,7.67709958e-09,forceCoeffs-old.dat
0.13,8.57482307e-08,2.98891002,-3.2993796e-07,-7.92207493e-08,-2.50717211e-07,forceCoeffs-old.dat
0.14,9.19231573e-08,2.88234116,-4.51269689e-07,-1.33711687e-07,-3.17558002e-07,forceCoeffs-old.dat
0.15,9.57403347e-08,2.78788228,-7.83724874e-08,5.6554091e-08,-1.34926578e-07,forceCoeffs-old.dat
0.16,9.78975397e-08,2.70349406,-1.39996332e-07,2.78993736e-08,-1.67895706e-07,forceCoeffs-old.dat
0.17,9.89739992e-08,2.62745633,-6.15066908e-07,-2.08559455e-07,-4.06507453e-07,forceCoeffs-old.dat
0.18,9.92173558e-08,2.55852926,-4.37296837e-07,-1.19431063e-07,-3.17865774e-07,forceCoeffs-old.dat
0.19,9.88342907e-08,2.49572865,-3.80912975e-07,-9.1622197e-08,-2.89290778e-07,forceCoeffs-old.dat
0.2,9.80099373e-08,2.43825264,-1.03290625e-07,4.6364625e-08,-1.4965525e-07,forceCoeffs-old.dat
0.21,9.68560094e-08,2.38547398,-2.41538944e-08,8.47790622e-08,-1.08932957e-07,forceCoeffs-old.dat
0.22,9.54463863e-08,2.33678445,-4.90395244e-09,9.29944101e-08,-9.78983625e-08,forceCoeffs-old.dat
0.23,9.38843913e-08,2.29166948,1.71609488e-07,1.79689135e-07,-8.07964749e-09,forceCoeffs-old.dat
0.24,9.68334936e-08,2.24976731,2.3110312e-07,2.12385054e-07,1.87180664e-08,forceCoeffs-old.dat
0.25,9.95140739e-08,2.21079061,3.22089878e-07,2.60559013e-07,6.1530865e-08,forceCoeffs-old.dat
0.26,1.00793713e-07,2.17438981,2.60121148e-07,2.30854287e-07,2.9266861e-08,forceCoeffs-old.dat
0.27,1.00705982e-07,2.14041704,6.54298163e-07,4.27855063e-07,2.264431e-07,forceCoeffs-old.dat
0.28,9.95306924e-08,2.10853422,5.20380944e-07,3.59721164e-07,1.6065978e-07,forceCoeffs-old.dat
0.29,9.75770907e-08,2.07856318,4.49527594e-07,3.22340888e-07,1.27186706e-07,forceCoeffs-old.dat
0.3,9.51148666e-08,2.05037013,5.53686417e-07,3.71958075e-07,1.81728342e-07,forceCoeffs-old.dat
0.31,9.23284899e-08,2.02381461,6.87591469e-07,4.36124224e-07,2.51467245e-07,forceCoeffs-old.dat
0.32,8.93404163e-08,1.99874701,7.92992806e-07,4.85836819e-07,3.07155987e-07,forceCoeffs-old.dat
0.33,8.62384386e-08,1.97508691,7.89135556e-07,4.80806217e-07,3.0832934e-07,forceCoeffs-old.dat
0.34,8.30880538e-08,1.95275883,7.53072771e-07,4.59624439e-07,2.93448332e-07,forceCoeffs-old.dat
0.35,7.99357339e-08,1.93153733,7.226732e-07,4.41272334e-07,2.81400866e-07,forceCoeffs-old.dat
0.36,7.68127141e-08,1.91140996,7.16896497e-07,4.35260963e-07,2.81635534e-07,forceCoeffs-old.dat
0.37,7.37416084e-08,1.89230587,7.48914287e-07,4.48198752e-07,3.00715535e-07,forceCoeffs-old.dat
0.38,8.34255014e-08,1.87415048,6.89938954e-07,4.28394978e-07,2.61543975e-07,forceCoeffs-old.dat
0.39,9.48488018e-08,1.85689489,5.91184432e-07,3.90441018e-07,2.00743414e-07,forceCoeffs-old.dat
0.4,1.04829797e-07,1.84044831,4.84057018e-07,3.46858306e-07,1.37198712e-07,forceCoeffs-old.dat
0.41,1.12808492e-07,1.82484172,4.76405206e-07,3.51011096e-07,1.25394111e-07,forceCoeffs-old.dat
0.42,1.18986834e-07,1.80998625,4.73573319e-07,3.55773493e-07,1.17799826e-07,forceCoeffs-old.dat
0.43,1.23712714e-07,1.79575586,4.30401289e-07,3.38913359e-07,9.14879302e-08,forceCoeffs-old.dat
0.44,1.27303138e-07,1.7821756,4.21875386e-07,3.38240831e-07,8.36345557e-08,forceCoeffs-old.dat
0.45,1.30006665e-07,1.76921538,4.94893231e-07,3.77453281e-07,1.1743995e-07,forceCoeffs-old.dat
0.46,1.3200956e-07,1.75683195,4.67036711e-07,3.65527916e-07,1.01508796e-07,forceCoeffs-old.dat
0.47,1.3344827e-07,1.74499277,4.05793369e-07,3.36344955e-07,6.94484139e-08,forceCoeffs-old.dat
0.48,1.34429428e-07,1.73366456,3.74842401e-07,3.21850629e-07,5.2991772e-08,forceCoeffs-old.dat
0.49,1.35037612e-07,1.72283484,3.94055633e-07,3.32065428e-07,6.19902049e-08,forceCoeffs-old.dat
0.5,1.35334954e-07,1.71246067,3.72003891e-07,3.213369e-07,5.06669914e-08,forceCoeffs-old.dat
0.51,1.35375541e-07,1.70258862,3.68411579e-07,3.1958133e-07,4.88302489e-08,forceCoeffs-old.dat
0.52,1.35200501e-07,1.69310909,3.45699528e-07,3.08050265e-07,3.76492635e-08,forceCoeffs-old.dat
0.53,1.34844993e-07,1.68399386,3.07444802e-07,2.88567394e-07,1.88774078e-08,forceCoeffs-old.dat
0.54,1.34338099e-07,1.67525341,2.77974695e-07,2.73325447e-07,4.64924808e-09,forceCoeffs-old.dat
0.55,1.33704318e-07,1.66688735,2.56507536e-07,2.61958087e-07,-5.45055025e-09,forceCoeffs-old.dat
0.56,1.32964498e-07,1.65886461,2.40821014e-07,2.53375005e-07,-1.25539914e-08,forceCoeffs-old.dat
0.57,1.32136266e-07,1.65117889,2.1746872e-07,2.40870626e-07,-2.34019064e-08,forceCoeffs-old.dat
0.58,1.31234803e-07,1.64380665,1.99334924e-07,2.30902265e-07,-3.15673409e-08,forceCoeffs-old.dat
0.59,1.30272926e-07,1.63672998,1.86835356e-07,2.23690604e-07,-3.68552484e-08,forceCoeffs-old.dat
0.6,1.29261101e-07,1.62993781,1.4706366e-07,2.02792931e-07,-5.5729271e-08,forceCoeffs-old.dat
0.61,1.28209268e-07,1.62343089,1.73044775e-07,2.14731656e-07,-4.16868811e-08,forceCoeffs-old.dat
0.62,1.27127678e-07,1.61716003,1.85596143e-07,2.19925749e-07,-3.43296063e-08,forceCoeffs-old.dat
0.63,1.26016312e-07,1.61117855,1.02184117e-07,1.7710837e-07,-7.49242535e-08,forceCoeffs-old.dat
0.64,1.24884005e-07,1.60546841,7.49147922e-08,1.62341401e-07,-8.74266092e-08,forceCoeffs-old.dat
0.65,1.23738453e-07,1.59997052,6.43406407e-08,1.55908773e-07,-9.15681324e-08,forceCoeffs-old.dat
0.66,1.22587928e-07,1.59465747,1.5865815e-09,1.23381219e-07,-1.21794638e-07,forceCoeffs-old.dat
0.67,1.21432292e-07,1.58956569,-3.02082623e-08,1.06328161e-07,-1.36536423e-07,forceCoeffs-old.dat
0.68,1.20271679e-07,1.58468267,-4.23406306e-08,9.91013632e-08,-1.41441994e-07,forceCoeffs-old.dat
0.69,1.19112686e-07,1.58001018,-5.94682022e-08,8.93785852e-08,-1.48846787e-07,forceCoeffs-old.dat
0.7,1.1795911e-07,1.57551962,-8.26746749e-08,7.6621773e-08,-1.59296448e-07,forceCoeffs-old.dat
0.71,1.168031e-07,1.57120812,-7.79474816e-08,7.78293588e-08,-1.5577684e-07,forceCoeffs-old.dat
0.72,1.15662066e-07,1.56708165,-1.11158758e-07,6.00826869e-08,-1.71241445e-07,forceCoeffs-old.dat
0.73,1.14521833e-07,1.56312257,-7.30598559e-08,7.79919055e-08,-1.51051761e-07,forceCoeffs-old.dat
0.74,1.1340166e-07,1.5593169,-8.86695035e-08,6.90669084e-08,-1.57736412e-07,forceCoeffs-old.dat
0.75,1.12295169e-07,1.55567879,-1.02300676e-07,6.11448314e-08,-1.63445507e-07,forceCoeffs-old.dat
0.76,1.11190557e-07,1.55218853,-1.87880601e-07,1.72502562e-08,-2.05130858e-07,forceCoeffs-old.dat
0.77,1.10119456e-07,1.54885346,-1.91484588e-07,1.43771615e-08,-2.0586175e-07,forceCoeffs-old.dat
0.78,1.09050093e-07,1.5456432,-1.95339981e-07,1.13801022e-08,-2.06720084e-07,forceCoeffs-old.dat
0.79,1.07995886e-07,1.54256853,-2.50358324e-07,-1.71832763e-08,-2.33175048e-07,forceCoeffs-old.dat
0.8,1.06968031e-07,1.53964878,-2.74081487e-07,-3.00727124e-08,-2.44008775e-07,forceCoeffs-old.dat
0.81,1.05945123e-07,1.53683517,-3.24202067e-07,-5.61559106e-08,-2.68046156e-07,forceCoeffs-old.dat
